"Zip/Postal Code","Zip Code"
"State/Province","State"
"Billing address","Thông tin đặt hàng"
"Already registered? Click here to login.","Bạn đã là thành viên? Mời bạn nhấn vào đây để đăng nhập."
"Create an account for later use","Tạo tài khoản"
"Ship to the same address","Chuyển hàng đến cùng địa chỉ"
"Shipping method","Phương thức giao hàng"
"Payment method","Phương thức thanh toán"
"Review your order","Thông tin đơn hàng"
"Product","Sản phẩm"
"Qty","Số lượng"
"Subtotal","Thành tiền"
"Subscribe to our newsletter","Đăng ký nhận bản tin"
"Tax","Thuế"
"Grand total","Tổng số tiền cần thanh toán"
"Please choose a shipping method.","Vui lòng chọn phương thức giao hàng."
"Please choose a payment method.","Vui lòng chọn phương thức thanh toán."
"Please enter valid details below.","Please enter valid details below."
"Please check red fields below and try again.","Please check red fields below and try again."
"Login","Đăng nhập"
"Please login with your email address and password.","Vui lòng đăng nhập với tài khoản của bạn."
"Email address","Email address"
"Password","Mật khẩu"
"Confirm password","Xác nhận mật khẩu"
"Forgotten your password?","Quên mật khẩu?"
"Close","Đóng"
"Login","Đăng nhập"
"Please enter a username and password.","Vui lòng điền thông tin đăng nhập của bạn."
"Invalid login or password.","Thông tin đăng nhập của bạn không chính xác."
"Enter your email below and we'll send you a new password by email.","Vui lòng điền email của bạn, chúng tôi sẽ gửi mật khẩu cho bạn qua email."
"Send password","Gửi mật khẩu"
"Return to login","Trở lại trang đăng nhập"
"Please enter a valid email address","Vui lòng nhập địa chỉ email chính xác"
"Please enter a registered email address.","Vui lòng điền email bạn đã đăng ký với chúng tôi."
"Invalid email address.","Địa chỉ email không chính xác."
"Email address already registered. Please <a href=""#"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address.","Email này đã được sử dụng để đăng ký. Vui lòng <a href=""#"" onclick=""login_popup.show(); return false;"">đăng nhập</a> hoặc sữ dụng email khác."
"I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Terms and Conditions</a>","I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Terms and Conditions</a>"
"Comments",""
"You need to have products in your cart to checkout, and your cart is empty.","Hiện tại giỏ hảng của bạn đang rỗng."
"Back to homepage","Quay trở lại trang chủ"
"Coupon code:","Coupon code:"
"Apply Coupon","Apply Coupon"
"Please enter a valid coupon code.","Please enter a valid coupon code."
"Cancel Coupon","Cancel Coupon"
"Shipping address","Địa chỉ giao hàng"
"How did you hear about us?","How did you hear about us?"
"Please choose","Please choose"
"Other","Other"
"Please specify:","Please specify:"
"First Name","Họ và Tên"
"Place order now","Đặt hàng"
"Please wait, processing your order...","Vui lòng chờ, đơn hàng của quý khách đang được xử lý..."
