"%s was added to your shopping cart.","%s đã được thêm vào giỏ hàng."
"%s was updated in your shopping cart.","%s đã được cập nhật vào giỏ hàng."
"* Required Fields","* Nội dung bắt buộc"
"Add New Address","Thêm địa chỉ mới"
"Add New Condition","Thêm điều kiện"
"Add coupon code for shopping cart","Add coupon code for shopping cart"
"Add gift messages to shopping cart","Add gift messages to shopping cart"
"Add product to shopping cart","Thêm sản phẩm vào giỏ hàng"
"Add product(s) to shopping cart","Thêm các sản phẩm vào giỏ hàng"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Additional Product Info","Additional Product Info"
"Address","Địa chỉ"
"Address %s of %s","Address %s of %s"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Allow Guest Checkout","Allow Guest Checkout"
"Already registered?","Bạn đã là thành viên?"
"An error occurred in the process of payment","Có lỗi trong quá trình thanh toán"
"An error occurred while deleting this condition.","An error occurred while deleting this condition."
"An error occurred while saving this condition.","An error occurred while saving this condition."
"Apply Coupon","Cập nhật mã giảm giá"
"Are you sure you would like to remove this item from the shopping cart?","Bạn có chắc là muốn xoá sản phẩm này khỏi giỏ hàng?"
"Back","Quay lại"
"Back to Billing Information","Quay lại thông tin đặt hàng"
"Back to Select Addresses","Quay lại thông tin địa chỉ"
"Back to Shipping Information","Quay lại thông tin giao hàng"
"Back to Shopping Cart","Quay lại trang đặt hàng"
"Based on your selection, you may be interested in the following items:","Sản phẩm bạn có thể quan tâm:"
"Billing address","Thông tin đặt hàng"
"Billing Address","Thông tin đặt hàng"
"Billing Information","Thông tin giao hàng"
"Billing Information - %s","Thông tin giao hàng - %s"
"Cancel Coupon","Cancel Coupon"
"Cannot add item to the shopping cart.","Không thể thêm sản phẩm vào giỏ hàng."
"Cannot add the item to shopping cart","Không thể thêm sản phẩm vào giỏ hàng."
"Cannot add the item to shopping cart.","Không thể thêm sản phẩm vào giỏ hàng."
